,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
279,New York Knicks,106,Cleveland Cavaliers,95,0.0,0.573,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,113.50%,35.10%,116.60%,36.70%
280,Washington Wizards,107,Cleveland Cavaliers,117,0.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,116.00%,36.50%,116.60%,36.70%
281,Washington Wizards,94,Cleveland Cavaliers,117,1.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,116.00%,36.50%,116.60%,36.70%
282,Miami Heat,87,Cleveland Cavaliers,113,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,113.40%,34.80%,116.60%,36.70%
283,Oklahoma City Thunder,102,Cleveland Cavaliers,110,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,113.00%,34.70%,116.60%,36.70%
284,Chicago Bulls,89,Cleveland Cavaliers,97,0.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,116.30%,36.50%,116.60%,36.70%
285,Charlotte Hornets,122,Cleveland Cavaliers,132,0.0,0.329,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,109.20%,32.70%,116.60%,36.70%
286,Charlotte Hornets,106,Cleveland Cavaliers,95,0.0,0.329,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,109.20%,32.70%,116.60%,36.70%
287,Los Angeles Lakers,102,Cleveland Cavaliers,116,0.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,114.90%,35.50%,116.60%,36.70%
288,Utah Jazz,99,Cleveland Cavaliers,122,1.0,0.451,112.7,113.8,-1.1,103.1,18.2,0.268,0.752,0.514,0.148,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,115.80%,36.40%,116.60%,36.70%
289,Dallas Mavericks,99,Cleveland Cavaliers,100,1.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,118.80%,37.60%,116.60%,36.70%
290,San Antonio Spurs,109,Cleveland Cavaliers,117,0.0,0.268,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,110.10%,34.40%,116.60%,36.70%
291,Brooklyn Nets,125,Cleveland Cavaliers,117,1.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,118.10%,37.40%,116.60%,36.70%
292,Toronto Raptors,118,Cleveland Cavaliers,107,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,110.00%,33.50%,116.60%,36.70%
293,Toronto Raptors,93,Cleveland Cavaliers,118,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,110.00%,33.50%,116.60%,36.70%
294,Boston Celtics,113,Cleveland Cavaliers,114,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,118.90%,37.80%,116.60%,36.70%
295,Boston Celtics,114,Cleveland Cavaliers,118,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,118.90%,37.80%,116.60%,36.70%
296,Portland Trail Blazers,96,Cleveland Cavaliers,114,1.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,116.80%,36.90%,116.60%,36.70%
297,Milwaukee Bucks,106,Cleveland Cavaliers,114,0.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,115.80%,36.30%,116.60%,36.70%
298,Philadelphia 76ers,109,Memphis Grizzlies,117,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,119.20%,37.90%,112.20%,34.60%
299,Atlanta Hawks,103,Memphis Grizzlies,128,0.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.50%,35.30%,112.20%,34.60%
300,Detroit Pistons,103,Memphis Grizzlies,114,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,,,112.20%,34.60%
301,Houston Rockets,125,Memphis Grizzlies,130,0.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,109.80%,33.00%,112.20%,34.60%
302,Houston Rockets,114,Memphis Grizzlies,151,0.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,109.80%,33.00%,112.20%,34.60%
303,Sacramento Kings,113,Memphis Grizzlies,109,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,119.30%,38.40%,112.20%,34.60%
304,Minnesota Timberwolves,103,Memphis Grizzlies,114,0.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,117.10%,37.10%,112.20%,34.60%
305,Minnesota Timberwolves,107,Memphis Grizzlies,128,0.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,117.10%,37.10%,112.20%,34.60%
306,Denver Nuggets,94,Memphis Grizzlies,112,1.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,119.00%,37.90%,112.20%,34.60%
307,New Orleans Pelicans,111,Memphis Grizzlies,132,0.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,115.40%,35.90%,112.20%,34.60%
308,New Orleans Pelicans,101,Memphis Grizzlies,116,0.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,115.40%,35.90%,112.20%,34.60%
309,Golden State Warriors,110,Memphis Grizzlies,131,0.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,117.90%,37.30%,112.20%,34.60%
310,Golden State Warriors,119,Memphis Grizzlies,133,0.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,117.90%,37.30%,112.20%,34.60%
311,Orlando Magic,108,Memphis Grizzlies,113,0.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.50%,35.10%,112.20%,34.60%
312,New York Knicks,112,Memphis Grizzlies,115,0.0,0.573,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.50%,35.10%,112.20%,34.60%
313,Washington Wizards,97,Memphis Grizzlies,103,1.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.00%,36.50%,112.20%,34.60%
314,Miami Heat,93,Memphis Grizzlies,101,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.40%,34.80%,112.20%,34.60%
315,Oklahoma City Thunder,110,Memphis Grizzlies,121,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.00%,34.70%,112.20%,34.60%
316,Oklahoma City Thunder,102,Memphis Grizzlies,123,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.00%,34.70%,112.20%,34.60%
317,Chicago Bulls,89,Memphis Grizzlies,104,1.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.30%,36.50%,112.20%,34.60%
318,Charlotte Hornets,99,Memphis Grizzlies,130,1.0,0.329,106.7,112.6,-5.9,103.3,17.8,0.238,0.755,0.491,0.137,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,109.20%,32.70%,112.20%,34.60%
319,Los Angeles Lakers,109,Memphis Grizzlies,121,0.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.90%,35.50%,112.20%,34.60%
320,Los Angeles Lakers,128,Memphis Grizzlies,112,1.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.90%,35.50%,112.20%,34.60%
321,Los Angeles Lakers,93,Memphis Grizzlies,103,1.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.90%,35.50%,112.20%,34.60%
322,Los Angeles Lakers,99,Memphis Grizzlies,116,1.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.90%,35.50%,112.20%,34.60%
323,Utah Jazz,111,Memphis Grizzlies,117,0.0,0.451,112.7,113.8,-1.1,103.1,18.2,0.268,0.752,0.514,0.148,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,115.80%,36.40%,112.20%,34.60%
324,Los Angeles Clippers,141,Memphis Grizzlies,132,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.40%,36.50%,112.20%,34.60%
325,Los Angeles Clippers,94,Memphis Grizzlies,108,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.40%,36.50%,112.20%,34.60%
326,Dallas Mavericks,108,Memphis Grizzlies,112,0.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,118.80%,37.60%,112.20%,34.60%
327,Dallas Mavericks,108,Memphis Grizzlies,112,0.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,118.80%,37.60%,112.20%,34.60%
328,Brooklyn Nets,124,Memphis Grizzlies,134,0.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,118.10%,37.40%,112.20%,34.60%
329,Toronto Raptors,106,Memphis Grizzlies,103,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,110.00%,33.50%,112.20%,34.60%
330,Boston Celtics,109,Memphis Grizzlies,106,1.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,118.90%,37.80%,112.20%,34.60%
331,Portland Trail Blazers,122,Memphis Grizzlies,112,1.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.80%,36.90%,112.20%,34.60%
332,Portland Trail Blazers,109,Memphis Grizzlies,119,0.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,116.80%,36.90%,112.20%,34.60%
333,Phoenix Suns,125,Memphis Grizzlies,108,1.0,0.549,112.1,110.1,2.1,100.8,19.3,0.266,0.76,0.508,0.134,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,113.60%,35.20%,112.20%,34.60%
334,Milwaukee Bucks,101,Memphis Grizzlies,142,0.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,115.80%,36.30%,112.20%,34.60%
335,Philadelphia 76ers,123,Houston Rockets,132,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,119.20%,37.90%,109.80%,33.00%
336,Memphis Grizzlies,129,Houston Rockets,122,1.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,112.20%,34.60%,109.80%,33.00%
337,Memphis Grizzlies,113,Houston Rockets,99,0.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,112.20%,34.60%,109.80%,33.00%
338,Atlanta Hawks,122,Houston Rockets,128,0.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,114.50%,35.30%,109.80%,33.00%
339,Detroit Pistons,115,Houston Rockets,121,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,,,109.80%,33.00%
340,Sacramento Kings,140,Houston Rockets,120,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,119.30%,38.40%,109.80%,33.00%
341,Sacramento Kings,130,Houston Rockets,128,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,119.30%,38.40%,109.80%,33.00%
342,Indiana Pacers,99,Houston Rockets,91,1.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,115.30%,35.60%,109.80%,33.00%
343,Denver Nuggets,133,Houston Rockets,112,1.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,119.00%,37.90%,109.80%,33.00%
344,Denver Nuggets,103,Houston Rockets,124,0.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,119.00%,37.90%,109.80%,33.00%
345,New Orleans Pelicans,112,Houston Rockets,114,0.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,115.40%,35.90%,109.80%,33.00%
346,New Orleans Pelicans,117,Houston Rockets,107,1.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,115.40%,35.90%,109.80%,33.00%
347,Golden State Warriors,127,Houston Rockets,120,1.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,117.90%,37.30%,109.80%,33.00%
348,Golden State Warriors,121,Houston Rockets,108,1.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,117.90%,37.30%,109.80%,33.00%
349,Orlando Magic,116,Houston Rockets,110,1.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.50%,35.10%,109.80%,33.00%
350,New York Knicks,108,Houston Rockets,88,0.0,0.573,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.50%,35.10%,109.80%,33.00%
351,Miami Heat,111,Houston Rockets,108,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.40%,34.80%,109.80%,33.00%
352,Oklahoma City Thunder,105,Houston Rockets,118,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.00%,34.70%,109.80%,33.00%
353,Oklahoma City Thunder,106,Houston Rockets,112,0.0,0.488,112.3,111.4,0.8,103.6,17.2,0.247,0.729,0.484,0.125,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.00%,34.70%,109.80%,33.00%
354,Chicago Bulls,119,Houston Rockets,111,1.0,0.488,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,116.30%,36.50%,109.80%,33.00%
355,Los Angeles Lakers,110,Houston Rockets,114,0.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,114.90%,35.50%,109.80%,33.00%
356,Los Angeles Lakers,134,Houston Rockets,109,1.0,0.524,111.8,111.5,0.3,103.6,17.9,0.228,0.763,0.505,0.134,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,114.90%,35.50%,109.80%,33.00%
357,Utah Jazz,108,Houston Rockets,114,0.0,0.451,112.7,113.8,-1.1,103.1,18.2,0.268,0.752,0.514,0.148,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,115.80%,36.40%,109.80%,33.00%
358,Los Angeles Clippers,109,Houston Rockets,101,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,116.40%,36.50%,109.80%,33.00%
359,Los Angeles Clippers,122,Houston Rockets,106,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,116.40%,36.50%,109.80%,33.00%
360,Dallas Mavericks,112,Houston Rockets,106,1.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,118.80%,37.60%,109.80%,33.00%
361,San Antonio Spurs,124,Houston Rockets,105,1.0,0.268,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,110.10%,34.40%,109.80%,33.00%
362,San Antonio Spurs,110,Houston Rockets,142,0.0,0.268,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,110.10%,34.40%,109.80%,33.00%
363,Brooklyn Nets,118,Houston Rockets,96,0.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,118.10%,37.40%,109.80%,33.00%
364,Toronto Raptors,117,Houston Rockets,111,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,110.00%,33.50%,109.80%,33.00%
365,Boston Celtics,109,Houston Rockets,111,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,118.90%,37.80%,109.80%,33.00%
366,Portland Trail Blazers,107,Houston Rockets,95,0.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,116.80%,36.90%,109.80%,33.00%
367,Phoenix Suns,97,Houston Rockets,111,1.0,0.549,112.1,110.1,2.1,100.8,19.3,0.266,0.76,0.508,0.134,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,113.60%,35.20%,109.80%,33.00%
368,Milwaukee Bucks,92,Houston Rockets,97,0.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,115.80%,36.30%,109.80%,33.00%
369,Philadelphia 76ers,119,New York Knicks,112,1.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,119.20%,37.90%,113.50%,35.10%
370,Philadelphia 76ers,97,New York Knicks,108,1.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,119.20%,37.90%,113.50%,35.10%
371,Memphis Grizzlies,127,New York Knicks,123,1.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,112.20%,34.60%,113.50%,35.10%
372,Atlanta Hawks,112,New York Knicks,99,0.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,114.50%,35.30%,113.50%,35.10%
373,Atlanta Hawks,89,New York Knicks,113,1.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,114.50%,35.30%,113.50%,35.10%
374,Detroit Pistons,106,New York Knicks,130,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,,,113.50%,35.10%
375,Detroit Pistons,112,New York Knicks,121,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,,,113.50%,35.10%
376,Houston Rockets,115,New York Knicks,137,0.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,109.80%,33.00%,113.50%,35.10%
377,Sacramento Kings,99,New York Knicks,112,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,119.30%,38.40%,113.50%,35.10%
378,Indiana Pacers,141,New York Knicks,136,1.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,115.30%,35.60%,113.50%,35.10%
379,Minnesota Timberwolves,140,New York Knicks,134,1.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,117.10%,37.10%,113.50%,35.10%
380,Denver Nuggets,110,New York Knicks,116,0.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,119.00%,37.90%,113.50%,35.10%
381,New Orleans Pelicans,106,New York Knicks,128,0.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,115.40%,35.90%,113.50%,35.10%
382,Golden State Warriors,94,New York Knicks,132,1.0,0.537,113.5,111.4,2.1,104.2,20.4,0.244,0.76,0.507,0.155,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,117.90%,37.30%,113.50%,35.10%
383,Orlando Magic,102,New York Knicks,115,0.0,0.415,109.0,111.5,-2.4,101.7,17.0,0.238,0.777,0.507,0.148,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,113.50%,35.10%,113.50%,35.10%
384,Washington Wizards,109,New York Knicks,118,0.0,0.427,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,116.00%,36.50%,113.50%,35.10%
385,Miami Heat,104,New York Knicks,106,0.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,113.40%,34.80%,113.50%,35.10%
386,Miami Heat,92,New York Knicks,101,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,113.40%,34.80%,113.50%,35.10%
387,Miami Heat,108,New York Knicks,101,1.0,0.537,110.4,110.6,-0.2,98.6,17.8,0.228,0.777,0.492,0.136,114.9,111.8,3.1,99.7,16.6,0.283,0.771,0.526,0.129,113.40%,34.80%,113.50%,35.10%
