,Visitor,Visitor_PTS,Home,Home_PTS,VisitorWin,Visitor_W_PCT,Visitor_E_OFF_RATING,Visitor_E_DEF_RATING,Visitor_E_NET_RATING,Visitor_E_PACE,Visitor_E_AST_RATIO,Visitor_E_OREB_PCT,Visitor_E_DREB_PCT,Visitor_E_REB_PCT,Visitor_E_TM_TOV_PCT,Home_E_OFF_RATING,Home_E_DEF_RATING,Home_E_NET_RATING,Home_E_PACE,Home_E_AST_RATIO,Home_E_OREB_PCT,Home_E_DREB_PCT,Home_E_REB_PCT,Home_E_TM_TOV_PCT,Visitor_TS%,Visitor_3P%,Home_TS%,Home_3P%
23,Cleveland Cavaliers,114,Washington Wizards,91,0.0,0.622,113.7,107.7,6.0,98.0,18.6,0.236,0.763,0.499,0.135,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,116.60%,36.70%,116.00%,36.50%
24,Los Angeles Clippers,114,Washington Wizards,107,1.0,0.537,112.4,112.0,0.3,100.2,17.5,0.229,0.766,0.501,0.141,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,116.40%,36.50%,116.00%,36.50%
25,Dallas Mavericks,105,Washington Wizards,113,0.0,0.463,114.3,114.0,0.3,98.8,17.4,0.18,0.755,0.464,0.122,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,118.80%,37.60%,116.00%,36.50%
26,San Antonio Spurs,124,Washington Wizards,136,0.0,0.268,107.2,117.7,-10.5,104.1,18.7,0.256,0.749,0.493,0.145,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,110.10%,34.40%,116.00%,36.50%
27,Brooklyn Nets,128,Washington Wizards,86,0.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,118.10%,37.40%,116.00%,36.50%
28,Brooklyn Nets,112,Washington Wizards,100,1.0,0.549,113.0,110.9,2.1,100.7,18.9,0.196,0.737,0.473,0.137,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,118.10%,37.40%,116.00%,36.50%
29,Toronto Raptors,108,Washington Wizards,119,0.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,110.00%,33.50%,116.00%,36.50%
30,Toronto Raptors,116,Washington Wizards,109,1.0,0.5,112.2,111.4,0.8,99.6,17.2,0.278,0.767,0.504,0.116,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,110.00%,33.50%,116.00%,36.50%
31,Boston Celtics,111,Washington Wizards,130,0.0,0.695,115.7,108.8,7.0,100.6,19.1,0.221,0.785,0.507,0.131,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,118.90%,37.80%,116.00%,36.50%
32,Portland Trail Blazers,124,Washington Wizards,116,1.0,0.402,112.0,116.0,-4.0,101.0,17.8,0.224,0.749,0.484,0.143,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,116.80%,36.90%,116.00%,36.50%
33,Phoenix Suns,102,Washington Wizards,127,0.0,0.549,112.1,110.1,2.1,100.8,19.3,0.266,0.76,0.508,0.134,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,113.60%,35.20%,116.00%,36.50%
34,Milwaukee Bucks,117,Washington Wizards,111,1.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,115.80%,36.30%,116.00%,36.50%
35,Milwaukee Bucks,140,Washington Wizards,128,1.0,0.707,112.8,109.4,3.3,102.8,18.1,0.25,0.778,0.524,0.141,111.5,113.3,-1.8,100.8,18.5,0.226,0.761,0.504,0.139,115.80%,36.30%,116.00%,36.50%
36,Philadelphia 76ers,114,Chicago Bulls,109,1.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,119.20%,37.90%,116.30%,36.50%
37,Philadelphia 76ers,116,Chicago Bulls,91,0.0,0.659,115.5,110.2,5.2,99.2,18.6,0.216,0.772,0.499,0.137,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,119.20%,37.90%,116.30%,36.50%
38,Memphis Grizzlies,107,Chicago Bulls,128,0.0,0.622,112.3,108.3,4.0,103.7,18.2,0.265,0.759,0.512,0.131,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,112.20%,34.60%,116.30%,36.50%
39,Atlanta Hawks,123,Chicago Bulls,105,1.0,0.5,113.9,113.6,0.3,103.1,17.6,0.251,0.758,0.502,0.124,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,114.50%,35.30%,116.30%,36.50%
40,Detroit Pistons,118,Chicago Bulls,132,0.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,,,116.30%,36.50%
41,Detroit Pistons,81,Chicago Bulls,103,1.0,0.207,107.8,116.1,-8.2,101.6,16.7,0.249,0.74,0.487,0.147,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,,,116.30%,36.50%
42,Houston Rockets,133,Chicago Bulls,118,1.0,0.268,107.7,116.9,-9.2,101.8,16.0,0.302,0.758,0.527,0.158,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,109.80%,33.00%,116.30%,36.50%
43,Sacramento Kings,117,Chicago Bulls,114,1.0,0.585,117.0,114.1,2.9,102.5,19.3,0.227,0.772,0.502,0.131,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,119.30%,38.40%,116.30%,36.50%
44,Indiana Pacers,109,Chicago Bulls,124,0.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,115.30%,35.60%,116.30%,36.50%
45,Indiana Pacers,125,Chicago Bulls,122,1.0,0.427,111.0,115.4,-4.4,103.8,18.9,0.234,0.722,0.478,0.142,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,115.30%,35.60%,116.30%,36.50%
46,Minnesota Timberwolves,131,Chicago Bulls,139,0.0,0.512,111.3,111.1,0.2,103.4,18.6,0.215,0.743,0.484,0.147,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,117.10%,37.10%,116.30%,36.50%
47,Denver Nuggets,126,Chicago Bulls,103,1.0,0.646,115.0,111.7,3.3,100.3,20.5,0.248,0.764,0.513,0.144,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,119.00%,37.90%,116.30%,36.50%
48,New Orleans Pelicans,115,Chicago Bulls,111,1.0,0.512,111.8,109.9,1.9,101.4,18.5,0.247,0.774,0.511,0.143,111.7,109.4,2.3,100.6,18.1,0.201,0.778,0.494,0.132,115.40%,35.90%,116.30%,36.50%
